Committee,CommitteeName,AddDate,AreaRegion,ParentName,ComemID,ContactID,ContactName,CompanyName,ContactAddrID,ContactAddress1,ContactAddress2,ContactCity,ContactState,ContactZip,ContactCountry,ContactPhone,MeetingID,Room,Closed,WheelChr,Day,Time,Language1,Language2,Language3,LocationId,Place,Address,City,LocBorough,State,Zip,Country,Directions,Institutional,Format1,Format2,Format3,Format4,Format5,Delete,LastChanged,Longitude,Latitude,ContactGP,PhoneMeetingNumber,VirtualMeetingLink,VirtualMeetingInfo,TimeZone,bmlt_id,unpublished
,"W.T.S.O.D.M.F. ~ Step Writing Meeting ~",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Monday,1900,,,,,"Fellowship Hall","2060 South Windsor St.","Salt Lake City",,UT,,US,,FALSE,,,,,,,5/4/26,-111.8667948,40.7135768,,,,,America/Denver,2807,
,"By NA Means Necessary",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1900,,,,,"St. Paul’s Lutheran Church","3329 Harrison Blvd.",Ogden,,UT,,US,,FALSE,,,,,,,5/4/26,-111.9498271,41.2028204,,,,,America/Denver,2837,
,"Living Proof Group- (Rear Building)",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1900,,,,,"Union Presbyterian Church","224 10th ST",Evanston,,WY,82931,US,,FALSE,,,,,,,5/4/26,-110.9667868,41.267344,,,,,America/Denver,2840,
,Kleansville,,AR_LAKESIDE,"Lakeside Unity Area",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1900,,,,,"Literature Study / Alpine Church","254 West 2675 North",Layton,,UT,,US,,FALSE,,,,,,,5/4/26,-111.9708722,41.0995378,,,,,America/Denver,2855,
,"Refuse To Use",,AR_LAKESIDE,"Lakeside Unity Area",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1900,,,,,"Literature Study: Living Clean: The Journey Continues / Trinity Lutheran Church","50 Yellow Creek Rd.",Evanston,,WY,,US,,FALSE,,,,,,,5/4/26,-110.9683294,41.2561055,,,,,America/Denver,2856,
,"No Matter What – Old and New Lit",,AR_SASQUATCH,"Sasquatch Area",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1900,,,,,,,,,,,US,,FALSE,VM,,,,,,5/4/26,-111.891,40.7608,,,https://zoom.us/j/2212792921,"– 7:00 PM Mountain Time Historical IP Reading on Monday – ONLINE MEETING ROOM",America/Denver,2863,
,"Unloaded in Sanpete",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1900,,,,,"CU Counseling Center","390 W 100 N",Ephraim,,UT,,US,,FALSE,,,,,,,5/4/26,-111.5963175,39.3620949,,,,,America/Denver,2874,
,"Message of Hope",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,OPEN,TRUE,Monday,2000,,,,,"St. Mary’s Church","200 North 50 West",Provo,,UT,,US,,FALSE,,,,,,,5/4/26,-111.6594322,40.2803506,,,,,America/Denver,2873,
,"Night K.I.S.S. Group",,AR_HIGH_UINTAH,"High Uintah Area",,,,,,,,,,,,,,,OPEN,FALSE,Monday,2000,,,,,"American Legion Hall","341 N. Vernal Ave",Vernal,,UT,84078,US,,FALSE,,,,,,,5/4/26,-109.5290712,40.4607454,,,,,America/Denver,2882,
,"Young, Wild, and Clean",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Monday,2010,,,,,"Murray Alano Club","5056 South Commerce Dr.",Murray,,UT,,US,"East room",FALSE,,,,,,,5/4/26,-111.8993664,40.6618815,,,,,America/Denver,2812,
,"Coffee at Noon",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Tuesday,1200,,,,,"Raw Bean Coffee","611 South West Temple","Salt Lake City",,UT,,US,,FALSE,,,,,,,5/4/26,-111.8936782,40.7559987,,,,,America/Denver,2816,
,"Second Chance",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Tuesday,1830,,,,,"The Room on Main Events Center","10 North Main St.",Tooele,,UT,,US,,FALSE,,,,,,,5/4/26,-112.2980817,40.5308779,,,,,America/Denver,2814,
,"Pride in Recovery (LGBTQ)",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Tuesday,1900,,,,,"Utah Pride Center","68 South Main St","Salt Lake City",,UT,,US,"McIntyre Building - 9th Floor, Buzz at front for 9th Floor",FALSE,,,,,,,5/4/26,-111.8915377,40.7676111,,,,,America/Denver,2813,
,"Barney's Meeting",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,TRUE,Tuesday,1900,,,,,"Saint Mark's Cathedral","231 East 100 South","Salt Lake City",,UT,,US,,FALSE,,,,,,,5/4/26,-111.8838495,40.7674362,,,,,America/Denver,2815,
,"Regular Tuesday Night NA",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,TRUE,Tuesday,1900,,,,,"Redwood Recreation Center","3060 South Lester St.","West Valley City",,UT,,US,,FALSE,,,,,,,5/4/26,-111.9377637,40.7053731,,,,,America/Denver,2819,
,"Check-up From the Neck-up",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Tuesday,1900,,,,,"Alano Club","684 24th St.",Ogden,,UT,,US,,FALSE,,,,,,,5/4/26,-111.9623618,41.2229073,,,,,America/Denver,2841,
,"Unloaded in Sanpete",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,CLOSED,FALSE,Tuesday,1900,,,,,"CU Counseling Center","390 W 100 N",Ephraim,,UT,,US,,FALSE,,,,,,,5/4/26,-111.5963175,39.3620949,,,,,America/Denver,2872,
,"We Care",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,CLOSED,TRUE,Tuesday,2000,,,,,"Presbyterian Church","242 South 200 East",Springville,,UT,,US,,FALSE,,,,,,,5/4/26,-111.6073516,40.1632896,,,,,America/Denver,2876,
,"Miracles in Progress",,AR_HIGH_UINTAH,"High Uintah Area",,,,,,,,,,,,,,,OPEN,FALSE,Tuesday,2000,,,,,"American Legion Hall","341 N. Vernal Ave",Vernal,,UT,84078,US,,FALSE,,,,,,,5/4/26,-109.5290712,40.4607454,,,,,America/Denver,2885,
,"The Best (formerly ""Never Alone"")",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Wednesday,1800,,,,,"Murray Alano Club","5056 South Commerce Dr.",Murray,,UT,,US,"East room",FALSE,,,,,,,5/4/26,-111.8993664,40.6618815,,,,,America/Denver,2821,
,"Wednesday Night Just For Today",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,OPEN,TRUE,Wednesday,1800,,,,,,"925 E Main Street",Price,,UT,,US,,FALSE,,,,,,,5/4/26,-110.7950825,39.5997825,,,,,America/Denver,2878,
,"Second Chance",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Wednesday,1830,,,,,"The Room on Main Events Center","10 North Main St.",Tooele,,UT,,US,,FALSE,,,,,,,5/4/26,-112.2980817,40.5308779,,,,,America/Denver,2820,
,"Living the Promise",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Wednesday,1900,,,,,"Christ United Methodist Church","2375 East 3300 South",Millcreek,,UT,,US,"East entrance, room 201 upstairs",FALSE,LIT,,,,,,5/4/26,-111.8224037,40.7001655,,,,,America/Denver,2817,
,"U Recover",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Wednesday,1900,,,,,"U of U Student Union","200 South Central Campus Dr.","Salt Lake City",,UT,,US,"Tree House, Upstairs, Second Floor; Use Lower Level Food Court Parking Lot",FALSE,,,,,,,5/4/26,-111.8461467,40.7649637,,,,,America/Denver,2818,
,"Logan’s Staying Clean",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Wednesday,1900,,,,,"Recovery Cafe","124 S. 600 W.",Logan,,UT,,US,,FALSE,,,,,,,5/4/26,-111.8494992,41.7290815,,,,,America/Denver,2843,
,"Living Proof Group- (Rear Building)",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Wednesday,1900,,,,,"St Paul’s Episcopal Church","949 Sage ST",Evanston,,WY,82930,US,,FALSE,,,,,,,5/4/26,-110.967778,41.2659843,,,,,America/Denver,2844,
,"Refuse to Use",,AR_LAKESIDE,"Lakeside Unity Area",,,,,,,,,,,,,,,CLOSED,FALSE,Wednesday,1900,,,,,"Chairs Choice / Trinity Lutheran Church","50 Yellow Creek Rd.",Evanston,,WY,,US,,FALSE,,,,,,,5/4/26,-110.9683294,41.2561055,,,,,America/Denver,2858,
,"AMP’d in Recovery",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,CLOSED,TRUE,Wednesday,1900,,,,,"Cirque Lodge","777 Palisade Dr",Orem,,UT,,US,,FALSE,,,,,,,5/4/26,-111.6726565,40.2831611,,,,,America/Denver,2879,
,"Red Pine Residential Treatment Center",,AR_HIGH_UINTAH,"High Uintah Area",,,,,,,,,,,,,,,OPEN,FALSE,Wednesday,1900,,,,,,"550 South 6777 East","Fort Duchesne",,UT,84026,US,,FALSE,,,,,,,5/4/26,-109.8545901,40.2880155,,,,,America/Denver,2886,
,"Last House on the Block",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,TRUE,Wednesday,1930,,,,,"Mountain Vista Methodist Church","8931 South 3200 West","West Jordan",,UT,,US,,FALSE,,,,,,,5/4/26,-111.9671388,40.5891487,,,,,America/Denver,2825,
,"Rebels with a Kause",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Wednesday,2000,,,,,"Virtual Meeting",,,,,,US,,FALSE,VM,,,,,,5/4/26,-111.891,40.7608,,,https://app.zoom.us/wc/4187050123/join?pwd=&tk=&fromPWA=1,"(Permanent Zoom Meeting) Zoom Meeting ID: 418-705-0123 Password: None",America/Denver,2842,
,"From Dope to Hope – NEW TIME AND LOCATION!",,AR_SASQUATCH,"Sasquatch Area",,,,,,,,,,,,,,,CLOSED,FALSE,Wednesday,2030,,,,,,"NEW TIME AND LOCATION! – 8:30 pm Mountain Time In-person! Basic Text Step Reading The Shack – 565 S 600 W",Heber,,UT,,US,,FALSE,,,,,,,5/4/26,-111.4223487,40.5014171,,,,,America/Denver,2864,
,"Here To Stay",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Thursday,0930,,,,,"Fit to Recover","1335 South Major St.","Salt Lake City",,UT,,US,"Creative Arts building",FALSE,,,,,,,5/4/26,-111.8892475,40.7405882,,,,,America/Denver,2822,
,"Hungry for Recovery",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1830,,,,,"Recovery Cafe","124 S. 600 W.",Logan,,UT,,US,,FALSE,,,,,,,5/4/26,-111.8494992,41.7290815,,,,,America/Denver,2845,
,"Keepin’ It Simple",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1830,,,,,"St. Paul’s Lutheran Church","3329 Harrison Blvd.",Ogden,,UT,,US,,FALSE,,,,,,,5/4/26,-111.9498271,41.2028204,,,,,America/Denver,2847,
,"Round Table Sharing & Caring",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,TRUE,Thursday,1900,,,,,"St. James Episcopal Church","7486 South Union Park Ave.",Midvale,,UT,,US,"Follow the signs on the ground to the meeting",FALSE,,,,,,,5/4/26,-111.8594192,40.6150265,,,,,America/Denver,2823,
,H.O.P.E.,,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Thursday,1900,,,,,"First United Methodist Church","203 South 200 East","Salt Lake City",,UT,,US,"Use rear entrance",FALSE,,,,,,,5/4/26,-111.8849559,40.7645791,,,,,America/Denver,2824,
,"Living Proof Group- (Rear Building)",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1900,,,,,"St Paul’s Episcopal Church","949 Sage ST",Evanston,,WY,82930,US,,FALSE,,,,,,,5/4/26,-110.967778,41.2659843,,,,,America/Denver,2849,
,"Coffee And Recovery",,AR_LAKESIDE,"Lakeside Unity Area",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1900,,,,,"Layton Hills Baptist Church","1332 N. Hillfield Rd.",Layton,,UT,,US,,FALSE,,,,,,,5/4/26,-111.9729678,41.0792147,,,,,America/Denver,2859,
,"NaNa Sisterhood",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,OPEN,TRUE,Thursday,1900,,,,,"Presbyterian Church","245 S 200 E",Springville,,UT,,US,,FALSE,,,,,,,5/4/26,-111.6064799,40.1631429,,,,,America/Denver,2880,
,"It Works How and Why",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,2000,,,,,,"1208 E 150 S",Santaquin,,UT,,US,,FALSE,,,,,,,5/4/26,-111.763313,39.973537,,,,,America/Denver,2877,
,"Miracles in Progress",,AR_HIGH_UINTAH,"High Uintah Area",,,,,,,,,,,,,,,OPEN,FALSE,Thursday,2000,,,,,"American Legion Hall","341 N. Vernal Ave",Vernal,,UT,84078,US,,FALSE,,,,,,,5/4/26,-109.5290712,40.4607454,,,,,America/Denver,2887,
,"Hope Dealers",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Friday,1830,,,,,"Murray Alano Club","5056 South Commerce Dr. (300 West)",Murray,,UT,,US,"West room",FALSE,,,,,,,5/4/26,-111.8993664,40.6618815,,,,,America/Denver,2826,
,"Catching the Dream",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Friday,1900,,,,,"Recovery Cafe","124 S. 600 W.",Logan,,UT,,US,,FALSE,,,,,,,5/4/26,-111.8494992,41.7290815,,,,,America/Denver,2846,
,"Friday Night Unity – We Recover Together",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Friday,1900,,,,,"Alano Club","684 24th St.",Ogden,,UT,,US,,FALSE,,,,,,,5/4/26,-111.9623618,41.2229073,,,,,America/Denver,2848,
,"Refuse to Use",,AR_LAKESIDE,"Lakeside Unity Area",,,,,,,,,,,,,,,CLOSED,FALSE,Friday,1900,,,,,"Chairs Choice / Trinity Lutheran Church","50 Yellow Creek Rd.",Evanston,,WY,,US,,FALSE,,,,,,,5/4/26,-110.9683294,41.2561055,,,,,America/Denver,2860,
,TGIF,,AR_LAKESIDE,"Lakeside Unity Area",,,,,,,,,,,,,,,CLOSED,FALSE,Friday,1900,,,,,"Davis Behavioral Health","934 South Main St.",Layton,,UT,,US,,FALSE,,,,,,,5/4/26,-111.9540968,41.0460814,,,,,America/Denver,2861,
,"No Matter What",,AR_SASQUATCH,"Sasquatch Area",,,,,,,,,,,,,,,CLOSED,FALSE,Friday,1900,,,,,,,,,,,US,,FALSE,VM,,,,,,5/4/26,-111.891,40.7608,,,https://zoom.us/j/2212792921,"Historical and Modern Lit – 7:00PM Mountain Time Online Meeting – Modern Literature Reading on Friday – ONLINE MEETING ROOM",America/Denver,2862,
,"No Name",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,OPEN,TRUE,Friday,1900,,,,,"St. Mary’s Church","200 North 50 West",Provo,,UT,,US,,FALSE,,,,,,,5/4/26,-111.6594322,40.2803506,,,,,America/Denver,2883,
,"Unloaded in Sanpete",,AR_CENTRAL,"Central Area",,,,,,,,,,,,,,,CLOSED,FALSE,Friday,1900,,,,,,"390 W 100 N",Ephraim,,UT,,US,,FALSE,,,,,,,5/4/26,-111.5963175,39.3620949,,,,,America/Denver,2884,
,L8R,,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Friday,2000,,,,,"Mt. Tabor Lutheran Church","175 South 700 East","Salt Lake City",,UT,,US,"do not park along North wall of parking lot",FALSE,,,,,,,5/4/26,-111.8706325,40.7654107,,,,,America/Denver,2827,
,"Night Alpha Group",,AR_HIGH_UINTAH,"High Uintah Area",,,,,,,,,,,,,,,CLOSED,FALSE,Friday,2000,,,,,"American Legion Hall","341 N. Vernal Ave",Vernal,,UT,84078,US,,FALSE,,,,,,,5/4/26,-109.5290712,40.4607454,,,,,America/Denver,2888,
,Niner,,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Friday,2100,,,,,"Virtual Meeting",,,,,,US,,FALSE,VM,,,,,,5/4/26,-111.891,40.7608,,,https://us02web.zoom.us/j/83612750511?pwd=elY2ZUhVWlZVbTZPdURGNWVucnNxZz09,"Zoom Meeting ID 836 1275 0511, Passcode: 1953",America/Denver,2831,
,"Flicker of Change",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Friday,2130,,,,,"Renaissance Ranch","664 Main St #201",Logan,,UT,,US,,FALSE,,,,,,,5/4/26,-111.8342066,41.7440764,,,,,America/Denver,2850,
,"Keeping It Green",,AR_SASQUATCH,"Sasquatch Area",,,,,,,,,,,,,,,CLOSED,FALSE,Saturday,0900,,,,,,,,,,,US,,FALSE,VM,,,,,,5/4/26,-111.891,40.7608,,,https://zoom.us/j/8403284032,"– 9:00 am Mountain Time ONLINE ONLY – Sasquatch Area MEETING ROOM IP Reading",America/Denver,2865,
,"Regular Saturday Morning NA",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,TRUE,Saturday,0930,,,,,"Redwood Recreation Center","3060 South Lester St.","West Valley City",,UT,,US,,FALSE,,,,,,,5/4/26,-111.9377637,40.7053731,,,,,America/Denver,2830,
,"Hungry for Recovery",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Saturday,1100,,,,,"Recovery Cafe","124 S. 600 W.",Logan,,UT,,US,,FALSE,,,,,,,5/4/26,-111.8494992,41.7290815,,,,,America/Denver,2853,
,"Saturday Gratitude",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Saturday,1200,,,,,"Virtual Meeting",,,,,,US,,FALSE,VM,,,,,,5/4/26,-111.891,40.7608,,,https://us02web.zoom.us/j/89398770471,"(Permanent Zoom Meeting) Zoom Meeting ID: 893-9877-0471 Password: 998753",America/Denver,2854,
,"Women's Pick A Stick",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,CLOSED,FALSE,Saturday,1230,,,,,"Murray Alano Club","5056 South Commerce Dr.",Murray,,UT,,US,,FALSE,LIT,,,,,,5/4/26,-111.8993664,40.6618815,,,,,America/Denver,2828,
,S.O.S.,,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,FALSE,Saturday,1700,,,,,"Bridge Church","9066 South 300 West",Sandy,,UT,,US,upstairs,FALSE,,,,,,,5/4/26,-111.901833,40.587009,,,,,America/Denver,2829,
,"Dinner and A Meeting",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Saturday,1800,,,,,"Alano Club","684 24th St.",Ogden,,UT,,US,,FALSE,,,,,,,5/4/26,-111.9623618,41.2229073,,,,,America/Denver,2852,
,"New Found Realities",,AR_UWANA,"United Wasatch Area",,,,,,,,,,,,,,,OPEN,TRUE,Saturday,1900,,,,,"All Saints Episcopal Church","1710 South Foothill Dr.","Salt Lake City",,UT,,US,"West entrance",FALSE,,,,,,,5/4/26,-111.8207605,40.7330606,,,,,America/Denver,2833,
,"Just For Tonight",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Saturday,1900,,,,,"Recovery Cafe","124 S. 600 W.",Logan,,UT,,US,,FALSE,,,,,,,5/4/26,-111.8494992,41.7290815,,,,,America/Denver,2851,
,"Be Frank",,AR_NORTHERN,"Northern Area",,,,,,,,,,,,,,,CLOSED,FALSE,Saturday,1900,,,,,"206 E 200 N",Preston,,,ID,83263,US,,FALSE,,,,,,,5/4/26,-111.8766173,42.0963133,,,,,America/Denver,2857,
,"Dawgs of Recovery",,AR_SASQUATCH,"Sasquatch Area",,,,,,,,,,,,,,,CLOSED,FALSE,Saturday,1930,,,,,,,,,,,US,,FALSE,VM,,,,,,5/4/26,-111.891,40.7608,,,https://zoom.us/j/8403284032,"– 7:30 pm Mountain Time ONLINE ONLY – Sasquatch Area MEETING ROOM Basic Text Stories",America/Denver,2869,
