Committee,CommitteeName,AddDate,AreaRegion,ParentName,ComemID,ContactID,ContactName,CompanyName,ContactAddrID,ContactAddress1,ContactAddress2,ContactCity,ContactState,ContactZip,ContactCountry,ContactPhone,MeetingID,Room,Closed,WheelChr,Day,Time,Language1,Language2,Language3,LocationId,Place,Address,City,LocBorough,State,Zip,Country,Directions,Institutional,Format1,Format2,Format3,Format4,Format5,Delete,LastChanged,Longitude,Latitude,ContactGP,PhoneMeetingNumber,VirtualMeetingLink,VirtualMeetingInfo,TimeZone,bmlt_id,unpublished
,"High Desert Area Service Committee",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,OPEN,TRUE,Sunday,1500,,,,,,"3 West Concord",Middleton,,ID,,,,FALSE,NS,,,,,,5/4/26,-116.6233753,43.7112839,,,,,America/Denver,2717,
,"Emmett Valley NA",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1600,,,,,,"115 S McKinley Avenue",Emmett,,ID,83617,USA,,FALSE,,,,,,,5/4/26,-116.4960321,43.8762838,,,,,America/Denver,2712,
,"Get Right in NA",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1700,,,,,,"619 12th Ave S",Nampa,,ID,83651,USA,"Downstairs Primary Room 3rd Sunday Potluck Birthday Meeting 4:30 pm Kitchen Area",FALSE,,,,,,,5/4/26,-116.565656,43.57478,,,,,America/Denver,2710,
,"Clean and Serene",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,OPEN,FALSE,Sunday,1800,,,,,,"790 NE Main St",Blackfoot,,ID,83221,USA,(1H+),FALSE,,,,,,,5/4/26,-112.3375486,43.1938995,,,,,America/Denver,2739,
,"Wheel of Recovery Literature",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1800,,,,,,"60 S Main St",Star,,ID,83669,USA,,FALSE,,,,,,,5/4/26,-116.4901314,43.6914054,,,,,America/Denver,2770,
,"Sunday Sunshine",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1800,,,,,,"707 W Fort St",Boise,,ID,83702,USA,"No Food or Drink Inside",FALSE,,,,,,,5/4/26,-116.1973487,43.621211,,,,,America/Denver,2771,
,"PAUL: The Twelve Step Study Group",,MINICASSIA,"Mini Cassia",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1830,,,,,,"220 East Ellis Street Paul",,,ID,83347,,,FALSE,,,,,,,5/4/26,-113.7797791,42.6050253,,,,,America/Denver,2724,
,"Primary Purpose",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,TRUE,Sunday,1830,,,,,,"235 Pine ave.",Meridian,,ID,,,"Rm 3",FALSE,NS,,,,,,5/4/26,-116.3891545,43.61169,,,,,America/Denver,2775,
,"A Different Way",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1900,,,,,,"180 NW 1st St",Ontario,,OR,97914,USA,"Thursday Closed Meeting Last Sunday Birthday Meeting",FALSE,,,,,,,5/4/26,-116.9638248,44.0283986,,,,,America/Denver,2695,
,"New Deal",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1900,,,,,,"217 S. 9th St",Caldwell,,ID,,,"Must wear a mask",FALSE,,,,,,,5/4/26,-116.6875428,43.6643696,,,,,America/Denver,2696,
,"Insanity To Serenity",,MAGICVALLEY,"Magic Valley",,,,,,,,,,,,,,,OPEN,FALSE,Sunday,1900,,,,,,"598 Addison Ave W","Twin Falls",,ID,83301,USA,"Open discussion",FALSE,,,,,,,5/4/26,-114.4921888,42.5642976,,,,,America/Denver,2715,
,"Recovery First",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1900,,,,,,"98 E 1st St S","Soda Springs",,ID,83276,,,FALSE,,,,,,,5/4/26,-111.600768,42.657749,,,,,America/Denver,2740,
,REXBURG,,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Sunday,1900,,,,,,"365 S 5th W",Rexburg,,ID,83440,USA,,FALSE,,,,,,,5/4/26,-111.7979454,43.8182416,,,,,America/Denver,2743,
,Shameless,,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,OPEN,FALSE,Sunday,1900,,,,,,"237 N Water Ave","Idaho Falls",,ID,83402,USA,"Trinity Room 206",FALSE,,,,,,,5/4/26,-112.037701,43.4902616,,,,,America/Denver,2747,
,"United Survivors Group-Basic Text Study",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,FALSE,Sunday,1900,,,,,,"1140 Airbase Rd","Mountain Home",,ID,83647,USA,"Basic Text Study",FALSE,,,,,,,5/4/26,-115.7082778,43.1270176,,,,,America/Denver,2776,
,"SPAD Meeting",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,FALSE,Monday,0700,,,,,,,Boise,,,83701,us,"Literature Study New virtual meeting! Every Monday at 7am",FALSE,VM,,,,,,5/4/26,-116.2173542,43.6136565,,,https://us06web.zoom.us/j/765816539?pwd=UFkvWldCenNabzhGMmJUeGp5aUNKZz09,"Zoom ID:765-816-539 Password: recovery",America/Denver,2772,
,"Noon Group",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1200,,,,,,"619 12th Ave S",Nampa,,ID,83651,USA,"Downstairs Hall Primary Room",FALSE,,,,,,,5/4/26,-116.565656,43.57478,,,,,America/Denver,2694,
,"PAUL Ask It Basket",,MINICASSIA,"Mini Cassia",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1200,,,,,,"Normal Ave & E 16th St",Burley,,ID,83318,USA,,FALSE,,,,,,,5/4/26,-113.7893678,42.5329216,,,,,America/Denver,2727,
,"Not High Noon",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1200,,,,,,"2201 W Woodlawn Ave",Boise,,ID,83702,,,FALSE,,,,,,,5/4/26,-116.2177802,43.6266814,,,,,America/Denver,2773,
,"New Attitudes",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1200,,,,,,,Boise,,,83701,us,,FALSE,VM,,,,,,5/4/26,-116.2173542,43.6136565,,,https://us06web.zoom.us/j/765816539?pwd=UFkvWldCenNabzhGMmJUeGp5aUNKZz09,"Zoom ID:765-816-539 Password: recovery",America/Denver,2774,
,"Monday Night Miracles",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1730,,,,,,"510 Bulwer St",Salmon,,ID,83467,,"At the Assembly of God church in Salmon, ID For more information call 209-327-5414 or 559-719-7211",FALSE,HYBR,,,,,,5/4/26,-113.9043387,45.1855668,,209-327-5414,,,America/Denver,2746,
,"The Unity Group",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,FALSE,Monday,1800,,,,,,"4821 W Franklin St",Boise,,ID,83705,USA,"This facility does not allow pets in the building. Only service animals as defined by the ADA are permitted. Children must be supervised at all times.",FALSE,NS,,,,,,5/4/26,-116.2026159,43.6220125,,,,,America/Denver,2779,
,"PAUL Womens Meeting",,MINICASSIA,"Mini Cassia",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1830,,,,,,"220 E Ellis St",Paul,,ID,83347,USA,,FALSE,,,,,,,5/4/26,-113.7797791,42.6050253,,,,,America/Denver,2730,
,"Men's Meeting",,MINICASSIA,"Mini Cassia",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1830,,,,,,"702 11th St",Rupert,,ID,83350,USA,,FALSE,,,,,,,5/4/26,-113.6765612,42.6228629,,,,,America/Denver,2731,
,"Just for Tonight",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1830,,,,,"St Francis of the Tetons Church","20 Alta School Rd",Alta,,WY,83414,USA,,FALSE,,,,,,,5/4/26,-111.036474,43.7542616,,,,,America/Denver,2745,
,"Get Right in NA",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1900,,,,,,"619 12th Ave S",Nampa,,ID,83651,USA,"Monday Book Study 3rd Floor Glass Chapel Tuesday & Thursday Downstairs Primary Room",FALSE,,,,,,,5/4/26,-116.565656,43.57478,,,,,America/Denver,2693,
,"NEW PERSPECTIVE",,MAGICVALLEY,"Magic Valley",,,,,,,,,,,,,,,OPEN,FALSE,Monday,1900,,,,,,"801 2nd Ave N","Twin Falls",,ID,,,"Open discussion",FALSE,,,,,,,5/4/26,-114.477855,42.562768,,,,,America/Denver,2713,
,"Monday Night Live",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1900,,,,,,"745 S 1st Ave",Pocatello,,ID,83201,USA,,FALSE,,,,,,,5/4/26,-112.4420946,42.8590788,,,,,America/Denver,2744,
,"Spiritual Principal a Day",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,OPEN,FALSE,Monday,1900,,,,,,"237 N Water Room 206","Idaho Falls",,ID,,,,FALSE,,,,,,,5/4/26,-112.0376616,43.4902624,,,,,America/Denver,2748,
,"Sanity Seekers (BS) (IP)",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1900,,,,,,"455 Washington St #B",Montpelier,,ID,,,,FALSE,,,,,,,5/4/26,-111.2995516,42.3172596,,,,,America/Denver,2750,
,"United Survivors Group",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,TRUE,Monday,1900,,,,,,"1140 Airbase Rd","Mountain Home",,ID,83647,USA,,FALSE,NS,,,,,,5/4/26,-115.7082778,43.1270176,,,,,America/Denver,2777,
,"Come As You Are",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,TRUE,Monday,1900,,,,,,"8525 W Ustick Rd",Boise,,ID,83704,USA,"entrance in the back LGBT & Allies (friends)",FALSE,NS,,,,,,5/4/26,-116.2889815,43.6327159,,,,,America/Denver,2781,
,"Hopeful Warriors",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Monday,1930,,,,,,"595 E 2nd St",Weiser,,ID,83672,USA,"First Friday of the month Game Night 6:30 - 8:00 pm",FALSE,,,,,,,5/4/26,-116.9669896,44.2477121,,,,,America/Denver,2697,
,"Divinity Meeting",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,FALSE,Monday,2000,,,,,,"6200 N Garrett St","Garden City",,ID,83714,USA,,FALSE,,,,,,,5/4/26,-116.2963051,43.6609355,,,,,America/Denver,2778,
,"Emmett Valley NA",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Tuesday,1300,,,,,,"115 S McKinley Ave",Emmett,,ID,83617,USA,,FALSE,,,,,,,5/4/26,-116.4960241,43.8749621,,,,,America/Denver,2699,
,"We Hear You",,MINICASSIA,"Mini Cassia",,,,,,,,,,,,,,,CLOSED,FALSE,Tuesday,1730,,,,,,"401 E 16th St",Burley,,ID,83318,USA,"In the gallery Please - no phones allowed",FALSE,,,,,,,5/4/26,-113.78915,42.532817,,,,,America/Denver,2729,
,"STILL NOT HIGH",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,FALSE,Tuesday,1800,,,,,,"2201 W Woodlawn Ave",Boise,,ID,83702,USA,"New meeting from the Not High Noon homegroup.",FALSE,,,,,,,5/4/26,-116.2177802,43.6266814,,,,,America/Denver,2780,
,"Our Guiding Principles",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,TRUE,Tuesday,1800,,,,,,,Boise,,,83701,us,"Literature Discussion – Our Guiding Principles A study of the Twelve Traditions of NA. Each month, we read the chapter corresponding to that month’s Tradition (e.g., Tradition 3 in March), covering one section per week for focused discussion. All ...",FALSE,VM,NS,,,,,5/4/26,-116.2173542,43.6136565,,,https://us06web.zoom.us/j/765816539?pwd=UFkvWldCenNabzhGMmJUeGp5aUNKZz09,"Zoom ID:765-816-539 Password: recovery",America/Denver,2786,
,"PAUL: It Works-How and Why",,MINICASSIA,"Mini Cassia",,,,,,,,,,,,,,,CLOSED,FALSE,Tuesday,1830,,,,,,"220 East Ellis Street Paul",,,ID,83347,,"Book Study group",FALSE,,,,,,,5/4/26,-113.7797791,42.6050253,,,,,America/Denver,2728,
,"Wood River NA Group",,MAGICVALLEY,"Magic Valley",,,,,,,,,,,,,,,OPEN,FALSE,Tuesday,1900,,,,,"Sun Club","731 N 1st Ave",Hailey,,ID,83333,USA,"Open discussion",FALSE,,,,,,,5/4/26,-114.3190987,43.526691,,,,,America/Denver,2718,
,"Living Clean Group-Book Study",,MAGICVALLEY,"Magic Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Tuesday,1900,,,,,,"801 2nd Ave N","Twin Falls",,ID,83301,USA,"Book Study",FALSE,,,,,,,5/4/26,-114.477855,42.562768,,,,,America/Denver,2720,
,"On Time Recovery",,MINICASSIA,"Mini Cassia",,,,,,,,,,,,,,,CLOSED,FALSE,Tuesday,1900,,,,,,"125 W Main St",Burley,,ID,83318,USA,"Doors open at 6:30",FALSE,,,,,,,5/4/26,-113.7941679,42.5380165,,,,,America/Denver,2732,
,"Never Alone",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Tuesday,1900,,,,,,"745 S. 1st  Street",Pocatello,,ID,83201,,,FALSE,,,,,,,5/4/26,-112.4419789,42.8587221,,,,,America/Denver,2749,
,"Hope and Recovery",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Tuesday,1900,,,,,,"168 S Main St","Soda Springs",,ID,83276,,,FALSE,,,,,,,5/4/26,-111.6038216,42.6553152,,,,,America/Denver,2751,
,"Recovery Just For Today",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Tuesday,1930,,,,,,"9105 W Overland Rd",Boise,,,83709,,"No pets allowed",FALSE,,,,,,,5/4/26,-116.2961356,43.5899781,,,,,America/Denver,2782,
,Solutions,,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Tuesday,2000,,,,,,"217 S 9th Ave",Caldwell,,ID,83605,USA,,FALSE,,,,,,,5/4/26,-116.6874342,43.66444,,,,,America/Denver,2702,
,"Wednesday Night Wisdom",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Wednesday,1730,,,,,,"520 Bulwer St",Salmon,,ID,83467,,"At the Assembly of God Church For more information call 209-327-5414 or 559-719-7211",FALSE,HYBR,,,,,,5/4/26,-113.9042983,45.1856046,,209-327-5414,,,America/Denver,2756,
,"Wednesday Night Women's Meeting",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,TRUE,Wednesday,1800,,,,,,"4821 Franklin Road",Boise,,ID,83705,,"In the basement except 4th Wednesday upstairs",FALSE,W,NS,,,,,5/4/26,-116.2421104,43.6022525,,,,,America/Denver,2783,
,"It's Lit Men's Literature Study",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,FALSE,Wednesday,1800,,,,,,"704 S Latah St",Boise,,ID,83705,USA,,FALSE,M,NS,,,,,5/4/26,-116.228215,43.597846,,,,,America/Denver,2785,
,"Serenity Sisters",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Wednesday,1815,,,,,,"8 S Midland Blvd",Nampa,,ID,83651,USA,"Alley entrance downstairs",FALSE,,,,,,,5/4/26,-116.5930733,43.5751835,,,,"Zoom ID# 647-567-820 password NAW",America/Denver,2701,
,"Attitude for Gratitude",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Wednesday,1900,,,,,,"817 W Ustick Rd",Caldwell,,ID,83605,USA,"Nazarene Church",FALSE,,,,,,,5/4/26,-116.7061427,43.6333494,,,,,America/Denver,2698,
,"Women’s Meeting",,MAGICVALLEY,"Magic Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Wednesday,1900,,,,,,"327 Madrona St","Twin Falls",,ID,83301,USA,"This group will be utilizing, ""NA It Works How and Why"" Feel free to bring your own copy! This will be a Closed Meeting of Narcotics Anonymous, Children are welcome but must be supervised at all times",FALSE,,,,,,,5/4/26,-114.4504925,42.5516035,,,,,America/Denver,2721,
,"Emerson Group",,MINICASSIA,"Mini Cassia",,,,,,,,,,,,,,,CLOSED,FALSE,Wednesday,1900,,,,,,"220 East Ellis Street Paul",,,ID,83347,,"Last Wednesday of Month – Candlelight",FALSE,,,,,,,5/4/26,-113.7797791,42.6050253,,,,,America/Denver,2737,
,"The Lie is Dead",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Wednesday,1900,,,,,,"200 N 15th Ave",Pocatello,,ID,83201,,,FALSE,,,,,,,5/4/26,-112.434186,42.873851,,,,,America/Denver,2753,
,"Living Clean Book Study",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Wednesday,1900,,,,,,"530 E Anderson St","Idaho Falls",,ID,83401,USA,,FALSE,,,,,,,5/4/26,-112.0338894,43.5113116,,,,,America/Denver,2754,
,"Clean & Serene",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,OPEN,FALSE,Wednesday,1900,,,,,,"790 NE Main St",Blackfoot,,ID,83221,USA,,FALSE,,,,,,,5/4/26,-112.3375486,43.1938995,,,,,America/Denver,2755,
,"United Survivors Group",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,TRUE,Wednesday,1900,,,,,,"1140 Airbase Rd","Mountain Home",,ID,83647,USA,,FALSE,NS,,,,,,5/4/26,-115.7082778,43.1270176,,,,,America/Denver,2784,
,"The Lie Is Dead",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,FALSE,Wednesday,2000,,,,,,"1820 N Hartman",Boise,,ID,83704,USA,"No handicap access",FALSE,NS,,,,,,5/4/26,-116.2583446,43.621413,,,,,America/Denver,2789,
,"Emmett Valley NA",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1430,,,,,,"115 S McKinley Ave",Emmett,,ID,83617,USA,,FALSE,,,,,,,5/4/26,-116.4960241,43.8749621,,,,,America/Denver,2700,
,"We Hear You",,MINICASSIA,"Mini Cassia",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1730,,,,,,"401 E 16th St",Burley,,ID,83318,USA,"In the gallery Please - no phones allowed",FALSE,,,,,,,5/4/26,-113.78915,42.532817,,,,,America/Denver,2736,
,"We Share Hope Not Dope",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,FALSE,Thursday,1800,,,,,,"1115 N Garden St",Boise,,ID,83706,,,FALSE,NS,,,,,,5/4/26,-116.2390651,43.6147431,,,,,America/Denver,2787,
,"Mini Cassia Activities Sub-committee",,MINICASSIA,"Mini Cassia",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1830,,,,,,"220 E Ellis St",Paul,,ID,83347,,,FALSE,,,,,,,5/4/26,-113.7797791,42.6050253,,,,,America/Denver,2735,
,"The Wheel of Recovery",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,TRUE,Thursday,1830,,,,,,"60 S Main St",Star,,ID,83669,USA,,FALSE,NS,,,,,,5/4/26,-116.4901314,43.6914054,,,,,America/Denver,2788,
,"Recovery Girls Women's Meeting",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1900,,,,,,"3510 E Homedale Rd",Caldwell,,ID,83607,,"Speaker and potluck dinner every 3rd Thursday of the month.",FALSE,,,,,,,5/4/26,-116.7347946,43.6182203,,,,,America/Denver,2709,
,"TWIN FALLS {HYBRID}-Huggie Bears",,MAGICVALLEY,"Magic Valley",,,,,,,,,,,,,,,OPEN,FALSE,Thursday,1900,,,,,,"530 Shoshone St W","Twin Falls",,ID,83301,,"Open discussion",FALSE,HYBR,,,,,,5/4/26,-114.4746051,42.5533465,,9234511525,,"Zoom ID: 9234511525",America/Denver,2719,
,"PAUL: Winners Circle",,MINICASSIA,"Mini Cassia",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1900,,,,,,"220 East Ellis Street Paul",,,ID,83347,,,FALSE,,,,,,,5/4/26,-113.7797791,42.6050253,,,,,America/Denver,2733,
,"Basic Text Book Study",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,OPEN,FALSE,Thursday,1900,,,,,,"530 E Anderson St","Idaho Falls",,ID,83401,USA,,FALSE,,,,,,,5/4/26,-112.0338894,43.5113116,,,,,America/Denver,2752,
,"Treasure Valley Public Relations Subcommittee",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1900,,,,,,"1115 N Garden St",Boise,,ID,83706,USA,"Potluck at 7pm, immediately following the We Share Hope Meeting, committee meeting starts at 7:30. All are welcome! Join us to learn about Public Relations within NA and how we carry the message to Hospitals and Institutions.",FALSE,,,,,,,5/4/26,-116.2390651,43.6147431,,,,,America/Denver,2790,
,"New Way",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1900,,,,,,"260 W 4th St",Kuna,,ID,83634,USA,,FALSE,,,,,,,5/4/26,-116.4159574,43.4919295,,,,,America/Denver,2791,
,"TVA Activities Committee",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1915,,,,,,"1115 N Garden St",Boise,,ID,83706,,"Come find out what fun recovery activities we have in the works and bring your new ideas! All addicts are welcome to join us! This meeting is immediately following the 6 o'clock We Share Hope meeting.",FALSE,,,,,,,5/4/26,-116.2390651,43.6147431,,,,"Zoom ID: 765-816-539 PW: recovery",America/Denver,2800,
,"TVA Activities Committee",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Thursday,1915,,,,,,"1115 N Garden St",Boise,,ID,83706,,"Come find out what fun recovery activities we have in the works and bring your new ideas! All addicts are welcome to join us! This meeting is immediately following the 6 o'clock We Share Hope meeting.",FALSE,,,,,,,5/4/26,-116.2390651,43.6147431,,,,"Zoom ID: 765-816-539 PW: recovery",America/Denver,2801,
,"Eight Fifteeners",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,OPEN,FALSE,Thursday,2015,,,,,,"1800 12th St","Idaho Falls",,ID,83404,USA,,FALSE,,,,,,,5/4/26,-111.998169,43.486925,,,,,America/Denver,2761,
,"Back to Basics Step Study",,TREASUREVALLEY,"Treasure Valley",,,,,,,,,,,,,,,OPEN,FALSE,Friday,1800,,,,,,"704 S Latah St",Boise,,ID,83705,,,FALSE,NS,,,,,,5/4/26,-116.228215,43.597846,,,,,America/Denver,2796,
,"Activities Committee Meeting",,HIGHDESERT,"High Desert",,,,,,,,,,,,,,,CLOSED,FALSE,Friday,1830,,,,,,"619 12th Ave S",Nampa,,ID,83651,USA,"Planning committee for fun events in the fellowship No clean time requirement",FALSE,,,,,,,5/4/26,-116.565656,43.57478,,,,,America/Denver,2714,
,"Just for Tonight",,SNAKERIVERVALLEY,"Snake River Valley",,,,,,,,,,,,,,,CLOSED,FALSE,Friday,1830,,,,,"St Francis of the Tetons Church","20 Alta School Rd",Alta,,WY,83414,USA,,FALSE,,,,,,,5/4/26,-111.036474,43.7542616,,,,,America/Denver,2757,
